Stock_1,Stock_2,Sector_1,Sector_2,Pair_Type,Correlation
META,MU,AI,Chip,AI-Chip,0.2028
AMD,TXN,Chip,Chip,Chip,0.2018
CRM,ORCL,AI,AI,AI,0.2016
NVDA,SNOW,AI,AI,AI,0.2004
META,SMCI,AI,AI,AI,0.1984
AMZN,AI,AI,AI,AI,0.1984
ORCL,MRVL,AI,Chip,AI-Chip,0.198
CRM,QCOM,AI,Chip,AI-Chip,0.1968
SNOW,TSM,AI,Chip,AI-Chip,0.1893
META,MRVL,AI,Chip,AI-Chip,0.1889
PLTR,MU,AI,Chip,AI-Chip,0.1885
GOOGL,AI,AI,AI,AI,0.1876
AMZN,SNOW,AI,AI,AI,0.187
META,INTC,AI,Chip,AI-Chip,0.1864
IBM,AVGO,AI,Chip,AI-Chip,0.1858
META,ORCL,AI,AI,AI,0.1841
AMZN,IBM,AI,AI,AI,0.1816
SNOW,MRVL,AI,Chip,AI-Chip,0.1793
PLTR,ASML,AI,Chip,AI-Chip,0.1715
PLTR,ARM,AI,Chip,AI-Chip,0.1699
AMZN,TXN,AI,Chip,AI-Chip,0.1678
META,AI,AI,AI,AI,0.1616
AI,MU,AI,Chip,AI-Chip,0.1579
GOOGL,TXN,AI,Chip,AI-Chip,0.1573
META,ARM,AI,Chip,AI-Chip,0.1546
ORCL,ASML,AI,Chip,AI-Chip,0.1492
SNOW,MU,AI,Chip,AI-Chip,0.1475
IBM,ORCL,AI,AI,AI,0.1471
SNOW,SMCI,AI,AI,AI,0.1412
IBM,MRVL,AI,Chip,AI-Chip,0.1342
SNOW,AMD,AI,Chip,AI-Chip,0.1303
IBM,AMD,AI,Chip,AI-Chip,0.1297
IBM,ARM,AI,Chip,AI-Chip,0.1286
META,SNOW,AI,AI,AI,0.1261
MSFT,ARM,AI,Chip,AI-Chip,0.126
IBM,ASML,AI,Chip,AI-Chip,0.1257
SNOW,ASML,AI,Chip,AI-Chip,0.1253
META,CRM,AI,AI,AI,0.1248
MSFT,MU,AI,Chip,AI-Chip,0.1225
PLTR,QCOM,AI,Chip,AI-Chip,0.1186
NVDA,IBM,AI,AI,AI,0.1181
AVGO,TXN,Chip,Chip,Chip,0.1179
GOOGL,ORCL,AI,AI,AI,0.1165
GOOGL,SNOW,AI,AI,AI,0.1149
ORCL,QCOM,AI,Chip,AI-Chip,0.1143
SNOW,ARM,AI,Chip,AI-Chip,0.1143
IBM,TSM,AI,Chip,AI-Chip,0.1115
CRM,ARM,AI,Chip,AI-Chip,0.1105
AMZN,ORCL,AI,AI,AI,0.1089
IBM,INTC,AI,Chip,AI-Chip,0.107
SNOW,QCOM,AI,Chip,AI-Chip,0.1063
MSFT,MRVL,AI,Chip,AI-Chip,0.1032
MSFT,GOOGL,AI,AI,AI,0.1012
AI,TXN,AI,Chip,AI-Chip,0.0946
CRM,SMCI,AI,AI,AI,0.0926
SMCI,TXN,AI,Chip,AI-Chip,0.0919
MSFT,QCOM,AI,Chip,AI-Chip,0.0913
GOOGL,CRM,AI,AI,AI,0.0908
IBM,MU,AI,Chip,AI-Chip,0.0872
NVDA,CRM,AI,AI,AI,0.0715
ORCL,INTC,AI,Chip,AI-Chip,0.0662
NVDA,TXN,AI,Chip,AI-Chip,0.0619
CRM,AVGO,AI,Chip,AI-Chip,0.0615
MSFT,ASML,AI,Chip,AI-Chip,0.061
PLTR,INTC,AI,Chip,AI-Chip,0.0576
META,TXN,AI,Chip,AI-Chip,0.0542
SNOW,INTC,AI,Chip,AI-Chip,0.0523
MSFT,INTC,AI,Chip,AI-Chip,0.0388
META,QCOM,AI,Chip,AI-Chip,0.0257
CRM,INTC,AI,Chip,AI-Chip,0.0207
CRM,MU,AI,Chip,AI-Chip,0.0002
CRM,MRVL,AI,Chip,AI-Chip,-0.0066
CRM,TSM,AI,Chip,AI-Chip,-0.0073
CRM,AMD,AI,Chip,AI-Chip,-0.0104
ORCL,TXN,AI,Chip,AI-Chip,-0.0246
SNOW,TXN,AI,Chip,AI-Chip,-0.0398
CRM,ASML,AI,Chip,AI-Chip,-0.054
IBM,TXN,AI,Chip,AI-Chip,-0.0621
PLTR,TXN,AI,Chip,AI-Chip,-0.073
CRM,TXN,AI,Chip,AI-Chip,-0.1152
MSFT,TXN,AI,Chip,AI-Chip,-0.1457
